위도,경도
36.31089095,127.3893707
36.30673286,127.3848196
36.31239267,127.39119740000001
36.30867591,127.39081750000001
36.30636934,127.3923831
36.30342557,127.38272920000001
36.30244065,127.388296
36.31129641,127.39046979999999
36.31176845,127.38939380000001
36.30808528,127.39473829999999
36.307582200000006,127.4476717
36.30961984,127.4413979
36.30970496,127.4424094
36.32677115,127.42073159999998
36.33532208,127.4181814
36.332913399999995,127.4188053
36.29206098,127.37977269999999
36.28658038,127.3795899
36.29125932,127.379876
36.32400372,127.40348200000001
36.31446813,127.4142413
36.30939039,127.41033590000002
36.31302879999999,127.40569140000001
36.31625932,127.4055676
36.31653307,127.40435349999998
36.31946021,127.407981
36.3138967,127.40225890000002
36.3108995,127.39907600000001
36.31407452,127.404205
36.30967208,127.40225190000001
36.3078604,127.40394669999999
36.31981529,127.43175759999998
36.317337,127.4280138
36.31074589,127.43702549999999
36.315653600000005,127.428417
36.31014369,127.4365663
36.31198026,127.4328328
36.30011182,127.3864591
36.29850744,127.3860409
36.30853607,127.3926533
37.36733667,128.4005555
37.4989959,128.4560338
37.50101191,128.45561750000002
37.639238399999996,128.5607073
37.34157736,128.4998383
37.67215604,128.70470079999998
37.67255532,128.7093483
37.366489200000004,128.3985184
37.36873227,128.3959439
37.36905827,128.40459270000002
37.36876982,128.39488459999998
37.36664748,128.394201
37.37127258,128.3901257
37.36797499,128.3982722
37.3684969,128.39749650000002
37.36703932,128.3984729
37.373542799999996,128.3947329
37.36735955,128.3923852
37.36806695,128.4021611
37.36682524,128.3965681
37.36720204,128.3912693
37.1711788745,128.994923814
37.171340088499996,128.9916020075
37.173025565900005,128.990322861
36.31384778,127.4273945
36.320341600000006,127.41747079999999
36.31672534,127.4268123
36.31840289,127.4277929
36.32670915,127.422546
36.32364497,127.42396880000001
36.32515636,127.4316426
36.32557502,127.4212953
36.31559562,127.43446740000002
36.32156075,127.43410619999999
36.31482503,127.43873590000001
36.31674597,127.43540949999999
36.31444362,127.4373166
36.31353717,127.43774740000002
36.31618537,127.435948
36.31620835,127.437921
36.31402901,127.4116531
37.1612450743,128.9833790522
37.161112521199996,128.98373590629998
37.179143511199996,128.9850259037
37.1034256914,129.0076443501
37.160687352800004,128.9901188607
37.1793492121,128.9769662432
37.1074168457,128.998827021
37.167122825300005,128.99141035370002
37.1493665083,128.9903228824
37.1744392414,128.9923502181
37.1778967971,128.9880201211
37.1751844965,128.9885423491
37.1758619903,128.9902313419
37.1749845822,128.9927880875
37.1719571987,128.9914473131
,
37.1714143954,128.9927815405
37.1720086871,128.9901312484
37.1720086871,128.9901312484
37.1667439855,128.9921716447
37.1723497713,128.9937687936
37.1172863296,129.0397963439
37.1162950457,129.0384672514
37.1172715453,129.0460318373
37.1688382475,129.03701663520002
37.1671370737,129.0350302096
37.1671370737,129.0350302096
37.1763404196,128.9833805954
37.1754757728,128.98152621370002
37.1763851893,128.979185306
37.1773358001,128.9793649232
37.1665654865,128.99274648
37.1705246114,128.9934964535
37.170439620399996,128.9927382582
37.1723134225,128.9931021476
37.1775571939,128.98765814040001
37.1781361083,128.9824282113
37.1690518818,128.994107541
37.1540811926,128.9899505915
37.1781084276,128.9875150751
37.1770586401,128.984326316
37.1782796788,128.9846843254
37.1739501425,128.9945768773
37.177225829499996,128.99046990370002
37.1758244869,128.99338839799998
37.1601932029,128.9900223798
37.1612450743,128.9833790522
37.1585405895,128.9879394479
37.1559477396,128.98856927190002
37.1541607029,128.9899637063
37.1520757981,128.9897877188
37.1459487849,128.98656138479998
37.1315179692,128.959353949
37.1310591985,128.9564217651
37.1009743859,129.0059578616
37.1011431193,129.0100054518
37.101246951,129.0105764205
37.104704836799996,129.0127211747
37.1036737771,129.0227743264
37.1034619483,129.0236624431
37.0948993969,129.03963187719998
37.099178548299996,129.0492945549
37.0929681191,129.0422635564
